genre,age_group,popularity,producer
Action,26-35,35,Manga
Adventure,26-35,292,Manga
Action,26-35,141,Manga
Action,26-35,18,Manga
Comedy,26-35,69,Manga
Action,26-35,297,Manga
Comedy,26-35,527,Novel
Slice of Life,26-35,111,Manga
Comedy,26-35,646,Manga
Action,26-35,38,Original
Action,26-35,1104,Original
Drama,26-35,152,Manga
Action,26-35,10,Manga
Comedy,26-35,347,Manga
Action,26-35,48,Original
Sci-Fi,26-35,216,Original
Action,26-35,240,Manga
Comedy,26-35,414,Manga
Action,26-35,485,Manga
Adventure,26-35,430,Manga
Adventure,26-35,2244,Manga
Action,26-35,21,Manga
Action,26-35,2507,Manga
Comedy,26-35,1001,Manga
Comedy,26-35,702,Manga
Action,26-35,277,Original
Action,26-35,79,Original
Action,26-35,1046,Original
Action,26-35,1073,Original
Adventure,26-35,39,Original
Action,26-35,359,Original
Action,26-35,67,Original
Action,26-35,1471,Light novel
Action,26-35,16,Manga
Action,26-35,117,Original
Mystery,26-35,334,Original
Adventure,26-35,515,Manga
Sci-Fi,26-35,203,Original
Drama,26-35,634,Novel
Comedy,26-35,146,Manga
Action,26-35,125,Manga
Comedy,26-35,1710,Manga
Mystery,26-35,419,Original
Dementia,26-35,224,Original
Action,26-35,144,Light novel
Action,26-35,82,Visual novel
Slice of Life,26-35,530,Other
Horror,26-35,1070,Original
Adventure,26-35,1707,Manga
Adventure,26-35,89,Novel
Adventure,26-35,115,Manga
Action,26-35,273,Manga
Action,26-35,560,Light novel
Adventure,26-35,949,Light novel
Drama,26-35,284,Novel
Action,26-35,1536,Novel
Mystery,26-35,414,Manga
Action,26-35,95,Manga
Mystery,26-35,97,Visual novel
Action,26-35,3706,Original
Action,26-35,106,Manga
Mystery,26-35,1,Manga
Action,26-35,9,Original
Action,26-35,173,Manga
Drama,26-35,96,Original
Action,26-35,119,Manga
Adventure,26-35,1125,Novel
Sci-Fi,26-35,308,Novel
Action,26-35,24,Original
Action,26-35,61,Original
Comedy,26-35,209,Manga
Adventure,26-35,902,Original
Slice of Life,26-35,31,Visual novel
Sci-Fi,26-35,113,Novel
Action,26-35,87,Light novel
Action,26-35,309,Light novel
Mystery,26-35,910,Original
Action,26-35,280,Original
Action,26-35,22,Original
Drama,26-35,1814,Novel
Action,26-35,23,Manga
Action,26-35,681,Manga
Action,26-35,718,Light novel
Slice of Life,26-35,229,Manga
Action,26-35,115,Light novel
Action,26-35,470,Manga
Mystery,26-35,548,Visual novel
Harem,26-35,344,Visual novel
Action,26-35,865,Other
Romance,26-35,44,Light novel
Action,26-35,4,Manga
Drama,26-35,1544,Novel
Action,26-35,156,Original
Sci-Fi,26-35,212,Original
Action,26-35,432,Light novel
Drama,26-35,493,Original
Action,26-35,244,Original
Action,26-35,228,Light novel
Action,26-35,19,Manga
Action,26-35,30,Light novel
Action,26-35,2011,Original
Comedy,26-35,356,Manga
Horror,26-35,919,Novel
Mystery,26-35,421,Novel
Slice of Life,26-35,1141,Manga
Action,26-35,855,Light novel
Thriller,26-35,8,Visual novel
Action,26-35,14,Manga
Slice of Life,26-35,45,Original
Josei,26-35,256,Manga
Action,26-35,386,Original
Mystery,26-35,843,Novel
Action,26-35,35,Manga
Mystery,26-35,26,Novel
Mystery,26-35,146,Light novel
Action,26-35,3,Light novel
Mystery,26-35,73,Novel
Slice of Life,26-35,148,Original
Comedy,26-35,881,Manga
Drama,26-35,390,Manga
Sci-Fi,26-35,645,Visual novel
Action,26-35,29,Original
Action,26-35,157,Manga
Action,26-35,91,Manga
Action,26-35,166,Manga
Slice of Life,26-35,74,Light novel
Action,26-35,1004,Original
Action,26-35,2,Manga
Action,26-35,337,Original
Slice of Life,26-35,191,Original
Slice of Life,26-35,75,Light novel
Sci-Fi,26-35,631,Original
Action,26-35,28,Original
Action,26-35,917,Original
